Classification,Food Name,Moisture (water) (mg),Protein (mg),"Fat, total (mg)",Ash (mg),Total dietary fibre (mg),"Available carbohydrate, without sugar alcohols (mg)",Total sugars (mg),Starch (mg),Sodium (Na) (mg),Potassium (K) (mg),Calcium (Ca) (mg),Phosphorus (P) (mg),Magnesium (Mg) (mg),Iron (Fe) (mg),Zinc (Zn) (mg),Cholesterol (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin C (mg)
18301,"Chicken, thigh, lean flesh, fried, no added fat",66000.0,27600.0,5200.0,1400.0,0.0,0.0,0.0,0.0,84,440,8,260,35,0.82,2.0,150,0.12,0.08,7.0,0
18301,"Chicken, thigh, lean flesh, skin & fat, raw",65900.0,16000.0,16900.0,900.0,0.0,0.0,0.0,0.0,54,250,7,148,19,0.6,1.12,88,0.083,0.114,4.07,0
18301,"Chicken, thigh, lean flesh, skin & fat, baked, no added fat",59100.0,23100.0,16100.000000000002,1000.0,0.0,0.0,0.0,0.0,74,269,23,234,25,0.94,1.85,127,0.049,0.3,5.79,0
18301,"Chicken, thigh, lean flesh, skin & fat, casseroled, no added fat",58200.0,24100.0,17100.0,800.0,0.0,0.0,0.0,0.0,58,210,14,195,20,0.89,1.87,110,0.064,0.203,4.69,0
18301,"Chicken, wing, lean flesh, raw",74800.0,18700.0,4100.0,800.0,0.0,0.0,0.0,0.0,66,230,13,200,22,0.4,1.1,79,0.06,0.13,8.0,0
18301,"Chicken, wing, lean flesh, baked, no added fat",60500.0,30900.0,7700.0,1100.0,0.0,0.0,0.0,0.0,84,270,13,240,24,0.7,1.9,160,0.0,0.17,9.0,0
18301,"Chicken, wing, lean flesh, casseroled, no added fat",62600.0,27900.0,8800.0,800.0,0.0,0.0,0.0,0.0,70,200,13,190,20,0.7,1.6,130,0.06,0.25,6.0,0
18301,"Chicken, wing, lean flesh, skin & fat, raw",64000.0,16100.000000000002,17400.0,700.0,0.0,0.0,0.0,0.0,56,184,13,157,16,0.52,0.93,87,0.035,0.118,5.52,0
18301,"Chicken, wing, lean flesh, skin & fat, baked, no added fat",53200.0,28200.0,17200.0,1000.0,0.0,0.0,0.0,0.0,81,252,24,242,24,0.83,1.76,164,0.0,0.174,8.06,0
18301,"Chicken, wing, lean flesh, skin & fat, casseroled, no added fat",57000.0,24900.0,17900.0,700.0,0.0,0.0,0.0,0.0,64,184,13,179,19,0.75,1.45,140,0.043,0.219,5.39,0
